@id	@type	@lat	@lon	name	tourism	wikipedia
158801311	node	40.7251022	-73.9795833	Alphabet City	yes	
158809984	node	40.7228800	-73.9987505	SoHo	attraction	"en:SoHo, Manhattan"
158862484	node	40.7486231	-73.9713889	Tudor City	yes	
320948228	node	40.7057505	-74.0029056	South Street Seaport	attraction	en:South Street Seaport
357618558	node	40.7322674	-73.9972548	"New York Studio School of Drawing, Painting and Sculpture"	yes	"en:New York Studio School of Drawing, Painting and Sculpture"
357620718	node	40.7714555	-73.9679875	Richard Morris Hunt	artwork	en:Richard Morris Hunt Memorial
357621823	node	40.7941111	-73.9764799	Joan of Arc Memorial	artwork	
368042980	node	40.7214798	-73.9971028	Storefront for Art and Architecture	gallery	en:Storefront for Art and Architecture
368043598	node	40.7338007	-74.0021484	Stonewall Inn	attraction	en:Stonewall Inn
368043670	node	40.7470923	-74.0064354	Paula Cooper Gallery	gallery	
368052081	node	40.7033870	-74.0113540	Fraunces Tavern Museum	museum	
368061337	node	40.7040270	-74.0137470	National Museum of the American Indian	museum	
368061366	node	40.7593341	-73.9841239	Times Square Museum & Visitor Center	information	
368061418	node	40.7823754	-73.9811723	Hotel Belleclaire	hotel	
368061423	node	40.7819444	-73.9825000	Hotel Churchill	hotel	
368061605	node	40.7379780	-73.9938312	Yeshiva University Museum	museum	en:Yeshiva University Museum
368061657	node	40.7250000	-73.9977778	Museum of African Art	museum	
368061660	node	40.7187837	-73.9900266	Lower East Side Tenement Museum	museum	en:Lower East Side Tenement Museum
368062558	node	40.7707317	-73.9804233	West Side YMCA	hostel	
373069793	node	40.7055641	-74.0134462	Charging Bull	artwork	en:Charging Bull
422438959	node	40.7701407	-73.9723395	Sir Walter Scott	artwork	en:Statue of Walter Scott (New York City)
422438963	node	40.7701930	-73.9725659	Robert Burns	artwork	en:Robert Burns (Steell)
422438965	node	40.7699059	-73.9727725	Christopher Columbus	artwork	en:Statue of Christopher Columbus (Central Park)
432760466	node	40.7942639	-73.9519498	Three Dancing Maidens â Untermyer Fountain	artwork	en:Three Dancing Maidens
561042174	node	40.7104974	-74.0138892	The Sphere	artwork	en:The Sphere
561950053	node	40.7697989	-73.9723702	William Shakespeare	artwork	en:Statue of William Shakespeare (New York City)
561950133	node	40.7703769	-73.9731523	Indian Hunter	artwork	en:Indian Hunter (Ward)
561950155	node	40.7706639	-73.9721367	Fitz-Greene Halleck	artwork	en:Statue of Fitz-Greene Halleck
561950603	node	40.7750382	-73.9665337	Alice in Wonderland	artwork	
566445454	node	40.7180976	-73.9886501	International Center of Photography	museum	en:International Center of Photography
600524075	node	40.7931582	-73.9527596	Burnett Memorial Fountain	artwork	en:Burnett Memorial Fountain
600524231	node	40.7952752	-73.9521167		viewpoint	
600524342	node	40.7965284	-73.9528662		viewpoint	
607275263	node	40.8041820	-73.9514750	L-Hostels	hostel	
746176809	node	40.7936648	-73.9710998		hostel	
746730288	node	40.8498716	-73.9446423	GWB View	viewpoint	
748726562	node	40.8509205	-73.9268503	HBP 187 View	viewpoint	
748726564	node	40.8494463	-73.9285932		viewpoint	
748726568	node	40.8373579	-73.9354673		viewpoint	
748726681	node	40.8569690	-73.9217898		viewpoint	
765351907	node	40.8463207	-73.9296031		viewpoint	
765365662	node	40.8462228	-73.9295373		viewpoint	
793892336	node	40.7044082	-74.0145980	Netherland Monument	artwork	
822939198	node	40.7814188	-73.9799422	Amsterdam Inn	hotel	
889117109	node	40.7149558	-74.0156940	Conrad	hotel	
889473084	node	40.7155750	-74.0088570	The Frederick Hotel	hotel	
990032612	node	40.7443441	-73.9867075	Latham	hotel	
999526140	node	40.7690103	-73.9829120	Mandarin Oriental	hotel	"en:Mandarin Oriental, New York"
1061531752	node	40.7966540	-73.9708276	Hotel 99	hotel	
1103801857	node	40.7278340	-73.9907398	"The Standard, East Village"	hotel	
1203709404	node	40.8609689	-73.9183446	Sherman Creek	picnic_site	
1209512095	node	40.8656888	-73.9276819		artwork	
1209670190	node	40.8657494	-73.9320915		viewpoint	
1209670522	node	40.8662504	-73.9312198		viewpoint	
1209670689	node	40.8662433	-73.9311863		viewpoint	
1209670731	node	40.8659637	-73.9321320		viewpoint	
1209977122	node	40.8626092	-73.9332844		viewpoint	
1210424407	node	40.8597959	-73.9338417		information	
1215606715	node	40.8615335	-73.9334253		viewpoint	
1240900810	node	40.7679978	-73.9727565	Tortoise	attraction	
1240900824	node	40.7683715	-73.9716059	Seal	attraction	
1240900847	node	40.7681959	-73.9713336	Puffin	attraction	
1240900912	node	40.7678190	-73.9717588	California Sea Lion	attraction	
1240900960	node	40.7683299	-73.9714570	Gentoo Penguin	attraction	
1240900963	node	40.7684111	-73.9719130	Grizzly Bear	attraction	
1240901027	node	40.7681796	-73.9723113	Snow Monkey	attraction	
1240901089	node	40.7682913	-73.9727846	Red Panda	attraction	
1240901124	node	40.7686428	-73.9726493	Snow Leopard	attraction	
1273406878	node	40.7590118	-73.9844836	DoubleTree Suites	hotel	
1297296350	node	40.7441337	-73.9832129	Clarion Hotel Park Avenue	hotel	
1329113669	node	40.7144385	-74.0028881	Triumph of the Human Spirit	artwork	en:Triumph of the Human Spirit
1332501243	node	40.7587051	-73.9785783	Prometheus	artwork	en:Prometheus (Manship)
1427233292	node	40.7532844	-73.9779435		information	
1427273334	node	40.7526594	-73.9744845	Fitzpatrick Grand Central Hotel	hotel	
1428427563	node	40.7610689	-73.9739729	adour alan ducasse	hotel	
1428427564	node	40.7612458	-73.9743323	St Regis	hotel	
1549441335	node	40.8673822	-73.9228859	Dyckman Farmhouse Museum	museum	
1606670273	node	40.7021499	-74.0158334	Eagle	artwork	
1642095638	node	40.7497873	-73.9679798	United Nations Visitors Centre	information	
1693299134	node	40.7063710	-74.0091960	Museum of American Finance	museum	en:Museum of American Finance
1707825821	node	40.7537504	-73.9945935	TRYP	hotel	
1737296888	node	40.7205455	-74.0162222		viewpoint	
1809517485	node	40.7932576	-73.9722071	Night Hotel	hotel	
1809517595	node	40.7935308	-73.9708941		information	
1810241472	node	40.7400959	-73.9977377	Rubin Museum of Art	museum	en:Rubin Museum of Art
1810737613	node	40.7919555	-73.9734339		information	
1821015967	node	40.7870324	-73.9778334		information	
1821015973	node	40.7905852	-73.9745404		information	
1821451551	node	40.7590853	-73.9954390	YOTEL	hotel	
1825848811	node	40.7944638	-73.9715707	LinkNYC	information	
1825848822	node	40.7948930	-73.9718649		information	
1825848823	node	40.7951736	-73.9710415		information	
1825848827	node	40.7957790	-73.9707450		information	
1825848831	node	40.7973979	-73.9700151		information	
1825848833	node	40.7986635	-73.9691112		information	
1834885412	node	40.7996299	-73.9679647		information	
1873813874	node	40.7645150	-73.9958863	Ink 48 Hotel	hotel	
2041819940	node	40.8204618	-73.9596787		viewpoint	
2047267696	node	40.7807355	-73.9810912	Hotel Beacon	hotel	en:Hotel Beacon
2091641954	node	40.7967400	-73.9625840	Central Park Inn	hostel	
2165157812	node	40.7559859	-73.9725033	W Hotels	hotel	
2186522365	node	40.7132396	-74.0114845	Jasperâs Split Star	artwork	
2194406569	node	40.7722222	-73.9778380	Green Visitor Center & Gift Shop	information	
2270245977	node	40.8471692	-73.9420363	3000 A.D. Diffusion Piece	artwork	
2279017961	node	40.8023279	-73.9675784	Link NYC	information	
2307164617	node	40.7451377	-73.9900206	Senton Hotel	hotel	
2307164624	node	40.7444690	-73.9891087	Broadway Plaza Hotel	hotel	
2317577533	node	40.7421430	-73.9847160	Hotel Giraffe	hotel	
2325990473	node	40.7443742	-73.9968175	Hotel Chelsea	hotel	en:Hotel Chelsea
2339527552	node	40.8011976	-73.9389456	Growth	artwork	
2350274315	node	40.8651110	-73.9321426		viewpoint	
2376384666	node	40.7700440	-73.9953548		information	
2377128188	node	40.7446533	-73.9993815	The GEM Hotel Chelsea	hotel	
2435110791	node	40.7587593	-73.9851462	George M. Cohan	artwork	en:Statue of George M. Cohan
2443892148	node	40.7864094	-73.9783047		information	
2451205739	node	40.7925409	-73.9711668	ChaShaMa	gallery	
